Circuit,Date,Excel Time,Value,Notes,Timezone,Year,Month,Day,Hour,Minute,Buffer,D1Limit,D2Limit,D3Limit,DemandLimit
B,2024-04-01 00:04:02-04:00,45383.0028,3760,,EDT,2024,4,1,0,4,75,4333,4483,4633,D0
A,2024-04-01 00:04:27-04:00,45383.00309,4447,,EDT,2024,4,1,0,4,150,5519,5819,6119,D0
B,2024-04-01 00:19:03-04:00,45383.01323,3727,,EDT,2024,4,1,0,19,75,4333,4483,4633,D0
A,2024-04-01 00:19:28-04:00,45383.01352,4371,,EDT,2024,4,1,0,19,150,5519,5819,6119,D0
B,2024-04-01 00:34:04-04:00,45383.02366,3651,,EDT,2024,4,1,0,34,75,4333,4483,4633,D0
A,2024-04-01 00:34:29-04:00,45383.02395,4415,,EDT,2024,4,1,0,34,150,5519,5819,6119,D0
B,2024-04-01 00:49:05-04:00,45383.03409,3671,,EDT,2024,4,1,0,49,75,4333,4483,4633,D0
A,2024-04-01 00:49:30-04:00,45383.03438,4456,,EDT,2024,4,1,0,49,150,5519,5819,6119,D0
B,2024-04-01 01:04:06-04:00,45383.04451,3680,,EDT,2024,4,1,1,4,75,4333,4483,4633,D0
A,2024-04-01 01:04:31-04:00,45383.0448,4387,,EDT,2024,4,1,1,4,150,5519,5819,6119,D0
B,2024-04-01 01:19:07-04:00,45383.05494,3567,,EDT,2024,4,1,1,19,75,4333,4483,4633,D0
A,2024-04-01 01:19:32-04:00,45383.05523,4432,,EDT,2024,4,1,1,19,150,5519,5819,6119,D0
B,2024-04-01 01:34:08-04:00,45383.06537,3567,,EDT,2024,4,1,1,34,75,4333,4483,4633,D0
A,2024-04-01 01:34:33-04:00,45383.06566,4240,,EDT,2024,4,1,1,34,150,5519,5819,6119,D0
B,2024-04-01 01:49:09-04:00,45383.0758,3524,,EDT,2024,4,1,1,49,75,4333,4483,4633,D0
A,2024-04-01 01:49:34-04:00,45383.07609,4253,,EDT,2024,4,1,1,49,150,5519,5819,6119,D0
B,2024-04-01 02:04:10-04:00,45383.08623,3573,,EDT,2024,4,1,2,4,75,4333,4483,4633,D0
A,2024-04-01 02:04:35-04:00,45383.08652,4231,,EDT,2024,4,1,2,4,150,5519,5819,6119,D0
B,2024-04-01 02:19:11-04:00,45383.09666,3537,,EDT,2024,4,1,2,19,75,4333,4483,4633,D0
A,2024-04-01 02:19:36-04:00,45383.09694,4236,,EDT,2024,4,1,2,19,150,5519,5819,6119,D0
B,2024-04-01 02:34:12-04:00,45383.10708,3489,,EDT,2024,4,1,2,34,75,4333,4483,4633,D0
A,2024-04-01 02:34:37-04:00,45383.10737,4232,,EDT,2024,4,1,2,34,150,5519,5819,6119,D0
B,2024-04-01 02:49:13-04:00,45383.11751,3474,,EDT,2024,4,1,2,49,75,4333,4483,4633,D0
A,2024-04-01 02:49:38-04:00,45383.1178,4190,,EDT,2024,4,1,2,49,150,5519,5819,6119,D0
B,2024-04-01 03:04:14-04:00,45383.12794,3475,,EDT,2024,4,1,3,4,75,4333,4483,4633,D0
A,2024-04-01 03:04:39-04:00,45383.12823,4337,,EDT,2024,4,1,3,4,150,5519,5819,6119,D0
B,2024-04-01 03:19:15-04:00,45383.13837,3513,,EDT,2024,4,1,3,19,75,4333,4483,4633,D0
A,2024-04-01 03:19:40-04:00,45383.13866,4214,,EDT,2024,4,1,3,19,150,5519,5819,6119,D0
B,2024-04-01 03:34:16-04:00,45383.1488,3429,,EDT,2024,4,1,3,34,75,4333,4483,4633,D0
A,2024-04-01 03:34:41-04:00,45383.14909,4237,,EDT,2024,4,1,3,34,150,5519,5819,6119,D0
B,2024-04-01 03:49:17-04:00,45383.15922,3378,,EDT,2024,4,1,3,49,75,4333,4483,4633,D0
