Circuit,Date,Excel Time,Value,Notes
A,12/28/2023 08:16:07 AM EST,45288.34453,3480,
A,12/28/2023 08:31:08 AM EST,45288.35495,3563,
A,12/28/2023 08:46:09 AM EST,45288.36538,3468,
A,12/28/2023 09:01:10 AM EST,45288.37581,3454,
A,12/28/2023 09:16:11 AM EST,45288.38624,3480,
A,12/28/2023 09:31:12 AM EST,45288.39667,3563,
A,12/28/2023 09:46:13 AM EST,45288.40709,3295,
A,12/28/2023 10:01:14 AM EST,45288.41752,3259,
A,12/28/2023 10:16:15 AM EST,45288.42795,3303,
A,12/28/2023 10:31:16 AM EST,45288.43838,3599,
A,12/28/2023 10:46:17 AM EST,45288.44881,3600,
A,12/28/2023 11:01:18 AM EST,45288.45924,3517,
A,12/28/2023 11:16:19 AM EST,45288.46966,3517,
A,12/28/2023 11:31:20 AM EST,45288.48009,3482,
A,12/28/2023 11:46:21 AM EST,45288.49052,3433,
A,12/28/2023 12:01:22 PM EST,45288.50095,3613,
A,12/28/2023 12:16:23 PM EST,45288.51138,3434,
A,12/28/2023 12:31:24 PM EST,45288.52181,3393,
A,12/28/2023 12:46:25 PM EST,45288.53223,3482,
A,12/28/2023 01:01:26 PM EST,45288.54266,3421,
A,12/28/2023 01:16:27 PM EST,45288.55309,3490,
A,12/28/2023 01:31:28 PM EST,45288.56352,3362,
A,12/28/2023 01:46:29 PM EST,45288.57395,3433,
A,12/28/2023 02:01:30 PM EST,45288.58438,3406,
A,12/28/2023 02:16:31 PM EST,45288.5948,3290,
A,12/28/2023 02:31:32 PM EST,45288.60523,3297,
A,12/28/2023 02:46:33 PM EST,45288.61566,3305,
A,12/28/2023 03:01:34 PM EST,45288.62609,3287,
A,12/28/2023 03:16:35 PM EST,45288.63652,3352,
A,12/28/2023 03:31:37 PM EST,45288.64696,3355,
A,12/28/2023 03:46:38 PM EST,45288.65738,3360,
A,12/28/2023 04:01:39 PM EST,45288.66781,3346,
A,12/28/2023 04:16:40 PM EST,45288.67824,3300,
A,12/28/2023 04:31:41 PM EST,45288.68867,3357,
A,12/28/2023 04:46:42 PM EST,45288.6991,3505,
A,12/28/2023 05:01:43 PM EST,45288.70953,3656,
A,12/28/2023 05:16:44 PM EST,45288.71995,3594,
A,12/28/2023 05:31:45 PM EST,45288.73038,3649,
A,12/28/2023 05:46:46 PM EST,45288.74081,3617,
A,12/28/2023 06:01:47 PM EST,45288.75124,3629,
A,12/28/2023 06:16:48 PM EST,45288.76167,3601,
A,12/28/2023 06:31:49 PM EST,45288.77209,3671,
A,12/28/2023 06:46:50 PM EST,45288.78252,3603,
A,12/28/2023 07:01:51 PM EST,45288.79295,3626,
A,12/28/2023 07:16:52 PM EST,45288.80338,3587,
A,12/28/2023 07:31:53 PM EST,45288.81381,3595,
A,12/28/2023 07:46:54 PM EST,45288.82424,3628,
A,12/28/2023 08:01:55 PM EST,45288.83466,3578,
A,12/28/2023 08:16:56 PM EST,45288.84509,3605,
A,12/28/2023 08:31:57 PM EST,45288.85552,3611,
A,12/28/2023 08:46:58 PM EST,45288.86595,3609,
A,12/28/2023 09:01:59 PM EST,45288.87638,3606,
A,12/28/2023 09:17:00 PM EST,45288.88681,3641,
A,12/28/2023 09:32:01 PM EST,45288.89723,3506,
A,12/28/2023 09:47:02 PM EST,45288.90766,3537,
A,12/28/2023 10:02:03 PM EST,45288.91809,3528,
A,12/28/2023 10:17:04 PM EST,45288.92852,3507,
A,12/28/2023 10:32:05 PM EST,45288.93895,3550,
A,12/28/2023 10:47:06 PM EST,45288.94938,3559,
A,12/28/2023 11:02:07 PM EST,45288.9598,3572,
A,12/28/2023 11:17:08 PM EST,45288.97023,3363,
A,12/28/2023 11:32:09 PM EST,45288.98066,3408,
A,12/28/2023 11:47:10 PM EST,45288.99109,3459,
A,12/29/2023 12:02:11 AM EST,45289.00152,3467,
A,12/29/2023 12:17:12 AM EST,45289.01194,3362,
A,12/29/2023 12:32:13 AM EST,45289.02237,3350,
A,12/29/2023 12:47:14 AM EST,45289.0328,3430,
A,12/29/2023 01:02:15 AM EST,45289.04323,3408,
A,12/29/2023 01:17:16 AM EST,45289.05366,3381,
A,12/29/2023 01:32:17 AM EST,45289.06409,3452,
A,12/29/2023 01:47:18 AM EST,45289.07451,3382,
A,12/29/2023 02:02:19 AM EST,45289.08494,3440,
A,12/29/2023 02:17:20 AM EST,45289.09537,3408,
A,12/29/2023 02:32:21 AM EST,45289.1058,3355,
A,12/29/2023 02:47:22 AM EST,45289.11623,3449,
A,12/29/2023 03:02:23 AM EST,45289.12666,3471,
A,12/29/2023 03:17:24 AM EST,45289.13708,3477,
A,12/29/2023 03:32:25 AM EST,45289.14751,3344,
A,12/29/2023 03:47:26 AM EST,45289.15794,3364,
A,12/29/2023 04:02:27 AM EST,45289.16837,3401,
A,12/29/2023 04:17:28 AM EST,45289.1788,3492,
A,12/29/2023 04:32:29 AM EST,45289.18922,3466,
A,12/29/2023 04:47:30 AM EST,45289.19965,3527,
A,12/29/2023 05:02:31 AM EST,45289.21008,3492,
A,12/29/2023 05:17:32 AM EST,45289.22051,3600,
A,12/29/2023 05:32:33 AM EST,45289.23094,3579,
A,12/29/2023 05:47:34 AM EST,45289.24137,3555,
A,12/29/2023 06:02:35 AM EST,45289.25179,3549,
A,12/29/2023 06:17:36 AM EST,45289.26222,3749,
A,12/29/2023 06:32:37 AM EST,45289.27265,3639,
A,12/29/2023 06:47:38 AM EST,45289.28308,3690,
A,12/29/2023 07:02:39 AM EST,45289.29351,3735,
A,12/29/2023 07:17:40 AM EST,45289.30394,3724,
A,12/29/2023 07:32:41 AM EST,45289.31436,3761,
A,12/29/2023 07:47:42 AM EST,45289.32479,3644,
A,12/29/2023 08:02:43 AM EST,45289.33522,3564,
A,12/29/2023 08:17:44 AM EST,45289.34565,3459,
A,12/29/2023 08:32:45 AM EST,45289.35608,3379,
A,12/29/2023 08:47:46 AM EST,45289.3665,3414,
A,12/29/2023 09:02:47 AM EST,45289.37693,3402,
A,12/29/2023 09:17:48 AM EST,45289.38736,3476,
A,12/29/2023 09:32:49 AM EST,45289.39779,3455,
A,12/29/2023 09:47:51 AM EST,45289.40823,3378,
A,12/29/2023 10:02:52 AM EST,45289.41866,3293,
A,12/29/2023 10:17:53 AM EST,45289.42909,3314,
A,12/29/2023 10:32:54 AM EST,45289.43951,3280,
A,12/29/2023 10:47:55 AM EST,45289.44994,3223,
A,12/29/2023 11:02:56 AM EST,45289.46037,3233,
A,12/29/2023 11:17:57 AM EST,45289.4708,3312,
A,12/29/2023 11:32:58 AM EST,45289.48123,3245,
A,12/29/2023 11:47:59 AM EST,45289.49166,3271,
A,12/29/2023 12:03:00 PM EST,45289.50208,3235,
A,12/29/2023 12:18:01 PM EST,45289.51251,3268,
A,12/29/2023 12:33:02 PM EST,45289.52294,3275,
A,12/29/2023 12:48:03 PM EST,45289.53337,3286,
A,12/29/2023 01:03:04 PM EST,45289.5438,3352,
A,12/29/2023 01:18:05 PM EST,45289.55422,3347,
A,12/29/2023 01:33:06 PM EST,45289.56465,3280,
A,12/29/2023 01:48:07 PM EST,45289.57508,3367,
A,12/29/2023 02:03:08 PM EST,45289.58551,3393,
A,12/29/2023 02:18:09 PM EST,45289.59594,3337,
A,12/29/2023 02:33:10 PM EST,45289.60637,3310,
A,12/29/2023 02:48:11 PM EST,45289.61679,3288,
A,12/29/2023 03:03:12 PM EST,45289.62722,3319,
A,12/29/2023 03:18:13 PM EST,45289.63765,3282,
A,12/29/2023 03:33:14 PM EST,45289.64808,3366,
A,12/29/2023 03:48:15 PM EST,45289.65851,3347,
A,12/29/2023 04:03:16 PM EST,45289.66894,3398,
A,12/29/2023 04:18:17 PM EST,45289.67936,3415,
A,12/29/2023 04:33:18 PM EST,45289.68979,3434,
